source,sample,construction,Y word,X  word,conn.,Y anim,WO - X first
mvdsakha.ru," не хотел уходить: здесь сытно кормили, словом, < была малина, а не жизнь >. Федор поправился, поздоровел, но то ли по      ","малина, а не жизнь",жизнь,малина,pos,no,yes
lyanka.ru,"  , маслу, орехам, жирному мясу и майонезу… Это < была мука, а не жизнь >. Постоянное чувство вины за то, что я не должна ","мука, а не жизнь",жизнь,мука,neg,no,yes
lib.ru,"    привлечь его и на время удержать. Ему нужна < была красота, а не жизнь > по чьей-то указке. Он мечтал о карьере          ","красота, а не жизнь",жизнь,красота,pos,no,yes
fantasy-book.ucoz.ru," , думаю не имеет смысла объяснять. Если бы это < было кино, а не жизнь > рыжего парня, то сейчас наверняка бы играл      ","кино, а не жизнь",жизнь,кино,pos,no,yes
bizdrnona.net,"  старался прокормить нас с дочерью. Только это < было выживание , а не жизнь >. А вокруг ведь были люди, которые смогли ","выживание , а не жизнь",жизнь,выживание,neg,no,yes
electroniclibrary21.ru,"       его шаги. И вдруг все замерло в Рохане. Это < был робот, а не человек >. Один из арктанов. Рохан совсем не думал об их    ","робот, а не человек",человек,робот,neut,yes,yes
mgmt.ru,"     сундука. Даже начальство изъяснилось, что это < был черт, а не человек >. В непродолжительное время не было от него        ","черт, а не человек",человек,черт,neg,yes,yes
brus-savitsk.forumgrad.ru,"   Уж если готовили в Менделеевском химика, то это < был ХИМИК, а не человек > с корочкой химика. Если МИРЭА готовило            ","ХИМИК, а не человек",человек,химик,pos,yes,yes
1kessay.ru,"         . Имя этой вычурной человека Скрудж. «Это < был кремень, а не человек >. Тайный нелюдимая, одинокий - он прятался,        ","кремень, а не человек",человек,кремень,neg,yes,yes
apokryphos.slashfiction.ru,"     , обманщик, выходи! Позднее говорили, что это < был пёс, а не человек >, что слуги и домочадцы сенатора выгнали           ","пёс, а не человек",человек,пёс,neg,yes,yes
culturelib.ru,"      обижен. Ничего нет удивительного. Фон Леттов < был дьявол, а не человек >. — Он очень умен, этот австриец, — сказала моя    ","дьявол, а не человек",человек,дьявол,neg,yes,yes
knigi-ugasov.taba.ru,"   ремня ничего и не помню о нем, точно моим отцом < был ремень, а не человек >... Он называл его ""черный доктор"". Каждый день    ","ремень, а не человек",человек,ремень,neg,yes,yes
readfree.ru,"    и глотать. Иногда издавал негромкие звуки… это < был предмет, а не человек >. (пауза) В детстве я злился на него. Мама         ","предмет, а не человек",человек,предмет,neg,yes,yes
s-line.tritonplus.ru,"      «Смерть в Венеции». Первые двадцать минут он < был золото, а не человек >. Потом появляется на экране этот                  ","золото, а не человек",человек,золото,pos,yes,yes
gorholod.ru,"     сундука. Даже начальники изъяснялись, что это < был чорт, а не человек >, и что решительно ничего не могло от него         ","чорт, а не человек",человек,чорт,neg,yes,yes
gidepark.ru,"        за И.В.Сталиным как за каменной стеной.Это < был исполин, а не человек >! Ты прав Юрий. 16 декабря была отменена           ","исполин, а не человек",человек,исполин,neut,yes,yes
krasdin.ru,"      чутье”. Даже начальство изъяснилось, что это < был черт, а не человек >!? А в сцене разоблачения Чичикова дамы            ","черт, а не человек",человек,черт,neg,yes,yes
finplanirovanie.ru,"  Ее разум застилало половым голодом. И все же это < было животное, а не человек >, и заниматься с ней сексом было все равно, что    ","животное, а не человек",человек,животное,neg,yes,yes
