source,sample,construction,Y word,X word,conn.,Y anim.,WO - X first
noblit.ru,"ими. ""Мне нужен такой спутник жизни, чтобы < была не жизнь, а вальс >, вот кого я ищу"". Выходит за зануду, не ","не жизнь, а вальс",жизнь,вальс,pos,no,no
fet.ouc.ru,"Всё вместе было чувства торжество, Но то < была не жизнь, а волшебство >. 22 И, сам не свой, я, наклоняясь, чуть ","не жизнь, а волшебство",жизнь,волшебство,pos,no,no
chisprud.ru,"Один ряд с именами известнейших чтоб жизнь < была не жизнь, а загляденье >, И чтобы всегда укрыться. Графические ","не жизнь, а загляденье",жизнь,загляденье,pos,no,no
irkbo.ru,"счастья и всего самого везло, Чтоб жизнь < была не жизнь, а загляденье >, И чтобы каждый. Садятся заи свадьбе ","не жизнь, а загляденье",жизнь,загляденье,pos,no,no
lucky-day.ru,"Хотим, чтобы тебе всегда везло, Чтоб жизнь < была не жизнь, а загляденье >, И чтобы каждый день был днем рожденья! ","не жизнь, а загляденье",жизнь,загляденье,pos,no,no
song-rap.ru,"грядущем оновом году всегда везло, Чтоб жизнь < была не жизнь, а загляденье >. Всегда, Пусть будет душа, как сейчас ","не жизнь, а загляденье",жизнь,загляденье,pos,no,no
irkbo.ru,"Узнала б никогда достигли в жизни жизнь < была не жизнь, а загляденье >, И чтобы каждый день был днем рожденья. ","не жизнь, а загляденье",жизнь,загляденье,pos,no,no
vtusovke.ru,"ъсНовый год прольется йшдождь пусть золотой,ж < была не жизнь, а загляденье >, И чтобы каждый день был днем рожденья. ","не жизнь, а загляденье",жизнь,загляденье,pos,no,no
orenkluch.ru,"поздравления тете на день рождение, Чтоб жизнь < была не жизнь, а загляденье >, И чтобы. Которая останется дань  ","не жизнь, а загляденье",жизнь,загляденье,pos,no,no
vtusovke.ru,"искру счастья и радости, и пусть чтоб жизнь < была не жизнь, а загляденье >, И чтобы каждый день. Без оглядки ","не жизнь, а загляденье",жизнь,загляденье,pos,no,no
eurotitan.ru,"профессионального дня. Везло, Чтоб жизнь < была не жизнь, а загляденье > любойв, Ветра выпьемто же за то, чтобыщ ","не жизнь, а загляденье",жизнь,загляденье,pos,no,no
fil-grand.ru,"будущее. Эти транспаранты можно сделать как < была не жизнь, а загляденье >, И чтобы каждый день. Видов криминалистических ","не жизнь, а загляденье",жизнь,загляденье,pos,no,no
city-rock.ru,"йзаботливыми. Транспаранты можно сделать как < была не жизнь, а загляденье >, И чтобы каждый предназначен света при  ","не жизнь, а загляденье",жизнь,загляденье,pos,no,no
news76week.ru,"сегодня. Никогда не встречает грусть она тебя < была не жизнь, а загляденье >, И чтобы каждый день был. Нет ни  ","не жизнь, а загляденье",жизнь,загляденье,pos,no,no
news76week.ru," границы Потому всегда везло, Чтоб жизнь < была не жизнь, а загляденье >, И чтобы каждый день был. Пожелаем ","не жизнь, а загляденье",жизнь,загляденье,pos,no,no
irkbo.ru,"появляйтесь если таких юочень везло, Чтоб жизнь < была не жизнь, а загляденье >, И чтобы каждый день был днем рожденья. ","не жизнь, а загляденье",жизнь,загляденье,pos,no,no
vtusovke.ru," с днём рождения для виктора, Чтоб жизнь < была не жизнь, а загляденье >, И чтобы каждый. Урок 5. Внутреннее ","не жизнь, а загляденье",жизнь,загляденье,pos,no,no
vtusovke.ru,"примроды, И мы сегодняоы везло, Чтоб жизнь < была не жизнь, а загляденье >, И чтобы каждый день был днем рожденья. ","не жизнь, а загляденье",жизнь,загляденье,pos,no,no
fil-grand.ru," жизни в рамках всей страны. Жизнь < была не жизнь, а загляденье >, И чтобы каждый скоро пропадут, ты сядешь ","не жизнь, а загляденье",жизнь,загляденье,pos,no,no
irkbo.ru,"привела за руку, Пусть принесут чтоб жизнь < была не жизнь, а загляденье >, И чтобы каждый день был. Случайная ","не жизнь, а загляденье",жизнь,загляденье,pos,no,no
b177.ru,"видшеть здесь замечиательную пардпу жизнь < была не жизнь, а загляденье >, И чтобы каждый день был днем рожденья. ","не жизнь, а загляденье",жизнь,загляденье,pos,no,no
240x320.ru,"душевное поздравление в прозе с днём рождения < была не жизнь, а загляденье > сечейчас устроим Из подарков хицдт-парад ","не жизнь, а загляденье",жизнь,загляденье,pos,no,no
mobilcentre.ru," очень оригинально и вполне. Жизнь < была не жизнь, а загляденье >, И чтобы каждый ты вспомнишъвь, что быть ","не жизнь, а загляденье",жизнь,загляденье,pos,no,no
b177.ru,"должлна день чтобы ... Везло, Чтоб жизнь < была не жизнь, а загляденье > честной, сменой будь краше, Поскольку ты ","не жизнь, а загляденье",жизнь,загляденье,pos,no,no
findtour.ru,"восток дело тонкое.... оценка это < был не отдых, а сказка >!!!!!!! побывали до этого во многих отелях ","не отдых, а сказка",отдых,сказка,pos,no,no
knigosite.ru,"оригинал"", ""копирует"". Как бы то ни было, это < была не работа, а мечта >. Единственная задача – проехать из пункта ","не работа, а мечта",работа,мечта,pos,no,no
missoffice.ru,"раскрепощено в подобной обстановке. Это < была не работа, а наслаждение >. И еще один чудесный день в моей жизни.","не работа, а наслаждение",работа,наслаждение,pos,no,no
htt.mosbiblio.ru," в банде, во главе которой – Ричард. Это < была не работа, а наслаждение >». Дымок марихуаны приятно разнообразил  ","не работа, а наслаждение",работа,наслаждение,pos,no,no
studentur.ru,"Италии, Франции и Германии. По началу это < была не работа, а отдых > =)) Постепенно я включалась в проведение ","не работа, а отдых",работа,отдых,pos,no,no
kuzkr.ru,"горное дело, эстетику, литературу. И это < была не работа, а песня >... В любой школе отношения между людьми ","не работа, а песня",работа,песня,pos,no,no
svgbdvr.ru,"интуитивном уровне. Для него сама поездка в Москву < была не работой, а праздником >: знаменитых людей вживую увидит и столичными ","не работа, а праздник",работа,праздник,pos,no,no
eressea.ru,"вообще никак. Он все ворчал, что раньше < была не работа, а развлечение >, но с тех пор как примерно год назад вся ","не работа, а развлечение",работа,развлечение,pos,no,no
